Term,Definition,Example
2.0,the improved version of something.,"""Let's call this the Strategic Plan 2.0"""
"30,000-feet view",looking at something in the broadest sense.,"""At the 30,000-feet view, the problem is..."""
80/20,finding the way that will lead to the most progress with the least amount of work.,"""We don't have time to do a full analysis. Let's 80/20 this.”"
Action item,something that has to get done.,"""Did any action items come out of the meeting?"""
Actionable,,"""Your email isn't actionable enough. What do you want the reader to do with your message?"""
Add value,,"""That was a value-added comment you made."""
Adjourn,,"""Meeting adjourned."""
Agenda,,"""Make sure you send an agenda before the meeting to give people an idea of what to expect and so people have a chance to suggest changes."""
Align upon,,"""Let's align on the meeting agenda first."""
AP,,"""Your reimbursement is an AP of the company."""
Apologies,sorry for professionals who don't want to say 'sorry'.,"""Apologies for the delay in responding."""
AR,,"""Our AR is over the top. So many clients still haven't paid us for our services.”"
ASAP,"""As Soon As Possible"" and is a marker for something you should probably do immediately.","""We need to respond to this ASAP."""
At the end of the day,the most important consideration in the end.,"""At the end of the day no one is going to read this."""
B2B,"""Business to Business"", which typically references a company that sells something to another organization.","""This furniture company makes most of its money selling B2B--by selling office chairs to companies."""
B2C,"""Business to Consumer"", which typically references a company that sells something to an individual.","""This other furniture company primarily sells B2C to families and college students."""
Backburner/Frontburner,something you should be working on as a top priority,"""Let's put this project on the backburner for now."""
Ball in \[someone's\] court,,"""The ball is in the legal department's court. We need their approval before we can proceed."""
Bandwidth,how much time you have.,"""I'm not sure I have bandwidth right now."""
Bellwether,something that hints at the potential beginning of a trend.,"""The fact that so many customers are rating our product highly is a bellwether that this might be a hot product."""
Benchmark,something to compare to.,"""50% margin sounds high. Is this in line with industry benchmarks?"""
Best practice,"the most trustworthy, correct, or acceptable way of doing something.","""We should look up some best practices from industry associations."""
Bite the bullet,suck it up and do something difficult.,"""Let's just bite the bullet and fire this person."""
Blessing,to get approval from someone higher up,"""This report has been blessed by the VP."""
Blocking and tackling,the basic work needed to get something done.,"""The last week was spent on the basic blocking and tackling."""
"Blue ocean (or “red ocean"")",an existing market where there is a lot of competition. (The ocean is red because the sharks have been feasting.),"""We need a blue ocean strategy because the ocean where we’re playing is red."""
Blue sky thinking,brainstorming as many ideas as possible without thinking about whether something is actually possible.,"""We need some blue sky thinking around here."""
Boil the ocean,to overcomplicate something by analyzing too many things at once.,"""Just do this one calculation. Don't boil the ocean."""
Brain dump,to give another person all the files or knowledge that one holds.,"""Would you have 30 minutes in the coming days to do a brain dump on this project before you leave for vacation?"""
Broken record,to say something over and over again to the point where it's annoying.,"""Forgive me if I sound like a broken record on this, but I think it should be shorter."""
Buckets,dividing lots of information into different categories.,"""We collected a lot of feedback from our customer surveys. What are the major buckets of feedback?"""
Business case,sharing why it makes sense for a business to try something new.,"""If you are selling to a for-profit, the business case typically needs to be about how your solution will increase revenues and/or decrease costs.”"
Buy-in,to get someone's endorsement on something.,"""Submitting this proposal to the procurement department before getting the department heads’ buy-in is a surefire way of getting nowhere. Set up a meeting with him first."""
Cadence,a certain routine or pattern.,"""Would you like to meet on a weekly cadence?"""
Can of worms,a seemingly small issue that gets turned into a much bigger issue.,"""Let's not open that can of worms."""
Canary in the coalmine,warning that some danger is ahead.,"""A lack of pre-orders may be a canary in the coalmine that this product will not sell well."""
Chair,the person in charge of orchestrating the meeting or leading a group of people (committee).,"""Can you chair this meeting?"""
Champion,"either ""a mentor who will advocate for you when you are not in the room"" or ""a person who is going to push a certain project through to approval"".","""This project will die on the client side unless we find an internal champion who can own everything."""
Chatham House Rules,"you can go ahead and use whatever information I'm about to tell you, but you didn't hear it from me and you definitely shouldn't share it with others.","""Chatham House Rules apply to this meeting."""
Chime in,to contribute to a discussion.,"""Please chime in if you have any ideas."""
Circle back,to meet back.,"""Let's circle back once you've had a chance to draft something up."""
COB,"""Close of Business,"" which typically means at 5:00pm.","""If someone tells you to get something to them by COB, they probably actually mean by 4:00pm to give them time to review your work before they leave at 5:00pm. If you aren't sure, ask for clarification."""
Committee / Taskforce / Working Group,a group of people who meet to discuss a certain set of topics and to make a certain set of decisions.,"""Let's split this large group up into sub-committees who can investigate each topic further and then return with recommendations."""
Consult,to ask for someone's opinion,"""You should consult your manager before sending out a mass email."""
Context,the background information others need to have to understand your point,"""Before you dive in with the numbers, provide the audience with some context behind your research."""
Core competency,what we are really good at.,"""Design is not our core competency."""
Counterfactual,what could have happened if a certain situation did not occur.,"""Sure, if we didn't hire this person we wouldn't end up with this big mess, but we don't have a counterfactual. Maybe this is an innocent mistake that everyone would have made."""
Critical path,the essential steps that must be completed to finish a project.,"""Identifying the critical path of a project helps you determine the minimum time needed to complete a project."""
CYA,"""Cover Your Ass"" (To do something so that you don't get blamed for something later).","""You should write down what you agreed upon in email as a CYA move, just in case he changes his mind later."""
Deck,a PowerPoint presentation.,"""Please update this deck with the latest numbers."""
Deep dive,to look into something more closely.,"""Let's do a deep dive on this topic tomorrow."""
Deliverable,anything that needs to be produced,"""The deliverable is a 10-page report."""
Delta,the difference.,"""The delta between the top-selling product and the second best selling product is massive."""
Dive right in,to start right away with whatever you want to discuss.,"""Let's dive right in. What do you need?"""
Dotted line vs. Solid line (reporting),a situation where person A is person B's boss.,"""I am dotted line to Eric and solid line to Lea. In other words, I work with Eric–and he sometimes gives me work–but Lea is the person who has the power to fire me."""
Dry powder,"extra, unused, resources (especially money)","""We have plenty of dry powder left for the upcoming quarter."""
Ducks in a row,to prepare everything necessary.,"""Let's meet with the VP once we have our ducks in a row."""
Drop the ball,to screw up.,"""Good job not dropping the ball on that presentation."""
Due diligence,to research to try and understand how legitimate something is.,"""I haven't done my due diligence on this candidate, but if you have, I'll trust your opinion.”"
EA,"""Executive Assistant"" (to someone important).","""When setting up a meeting with someone important, work with that person's EA."""
Elephant in the room,an uncomfortable topic people would rather not discuss.,"""That was a useless meeting. People talked a lot, but never once addressed the elephant in the room."""
Engage,to talk to / contact / work with.,"""Don't forget to engage with the other team."""
EOM,"""End of Message"", which is an acronym people put on a short message to signal that they are done–usually reserved for higher-ups who don't have to care about being polite and professional.","""Can you come to my office? EOM."""
EOD/EOW,"""End of Day"" / ""End of Week"". (Either end of the workday / week / 5am / Friday / 12am / Sunday, so make sure you clarify if you aren't sure.)","""I will get back to you by EOW."""
ETA,"""Estimated Time of Arrival"". (When you expect to show up somewhere.)","""What's your ETA?"""
Executive decision,to make a decision yourself without putting a topic up for a group vote.,"""Don't waste people's time with a long poll for food preferences. Just make an executive decision."""
Executive summary,"a bullet point list of the most important information, usually presented as a slide at the front of a long PowerPoint 'deck'","""When explaining ideas to people, start with the executive summary–then pause and let others react, rather than dive straight into the details."""
First pass/quick pass,the first draft of something / a quick skim of something.,"""Please find attached my first pass at a draft email for Joe. Let me know if you have any edits."""
Framework,to put some structure around a bunch of information (e.g. by putting it into 'buckets' or themes) or to create a methodical way of making a decision (e.g. creating a framework for deciding what types of initiatives to pursue).,"""Given the many ideas floating around the team for blog posts, I suggest that we look at new content through the following framework: (1)"""
FTE,"""Full-Time Employee"", which is someone who works for 40 hours per week or however many hours is considered full-time.","""This company has 5,000 FTEs."""
Function vs. Industry,"the type of company (e.g. Technology, Retail).","""Pretty much all companies, regardless of function, have the same functions."""
FYI,"""For Your Information"" (Information you are sharing and that people don't need to reply to).","""FYI – the 2pm meeting has moved to room 203."""
Gantt chart,"a chart that lists a series of tasks that need to get done as part of a project along the side, a list of upcoming dates on the top, and a series of bars in the middle showing when each of the tasks will get done.","""Please put this project plan on a Gantt chart so that we can visually see all the overlapping tasks that we need to get done at the same time."""
Get the ball rolling,to start something.,"""James – how about you get the ball rolling by giving your update first?"""
Give a heads up,to tell someone ahead of time.,"""Just a heads up that I will be on vacation starting tomorrow."""
Going forward,from this point on.,"""Going forward, Jen will be your main contact."""
Grandfathering,to allow whoever signed up earlier to follow the old rules and be exempt from the new rules.,"""Should we raise our prices for everyone, or should we grandfather in our existing clients?"""
Granular,specific.,"""This explanation is too vague. Can you be more granular?"""
Gut feel,an immediate reaction.,"""What's your gut feel towards this color scheme?"""
Hard copy,a print-out of a document.,"""Can you give me the next draft in hard copy?"""
Hard stop,"a time when I definitely need to leave; otherwise, I will be late for my next appointment.","""I'd love to chat, but I have a hard stop at 2:25pm. Is that okay with you?"""
Has legs,has potential.,"""This idea may have legs. Let's bring it up in our next team meeting."""
Headwinds vs. Tailwinds,situations or factors that make something move more slowly or move lower.,"""Falling gas prices are a tailwind to trucking companies because it costs less money to fuel their trucks, but are a headwind to gas companies that want to make more money."""
High level,the one-breath-or-less version of whatever you want to explain.,"""No need to explain it to me in a meeting.  Just tell me the high level takeaway right now."""
HiPPO,"the ""Highest Paid Person's Opinion"" or ""Highest Paid Person in the Office"".","""Just sit and take notes. There won't be much of a discussion because it's all up to the HiPPO."""
Hit the ground running,"to be useful right away, without needing to bother others for help.","""Can you meet with Carl so he can hit the ground running?”"
Hypothesis,your guess as to what will happen given what you know about the situation.,"""Before you begin analyzing any data, come up with a hypothesis."""
In the loop,to be included in the conversation / made aware.,"""Keep me in the loop on how things go."""
In the pipeline,things that people expect to happen or tasks that people expect to do.,"""What new product features do we have in the pipeline?"""
In your wheelhouse,your specialty.,"""Python isn't quite in my wheelhouse."""
Incentivize,to give someone a reason to do something.,"""$20 gift cards could help incentivize people to take our survey."""
Inherit,to take over for someone else.,"""I am inheriting John's financial model."""
Institutional memory,"the history and processes of an organization that employees might know but not necessarily write down. Typically, the longer someone has been on a team, the more institutional memory they have, so the more work it will take to replace this person.","“OMG, half of my org quit last week, so we have zero institutional memory now.”"
Invite,to send a calendar invitation (typically from Outlook or Gmail).,"""Send me an invite for this Thursday 2pm and we can catch up then."""
It is what it is,"more work for the rest of us, but it is what it is.""",
Iterate,to work on multiple versions of something until it is perfect.,"""Don't just send. me the final version. Let's iterate upon this together."""
Key takeaway,"the main point, idea, decision, or summary.","""When others ask you for the key takeaways, first summarize everything into a single sentence, then offer to elaborate if others want more details."""
Lagging indicator / Leading indicator,a signal that helps us measure future performance.,"“Be careful about companies that are growing super quickly! Hyper-growth can be a leading indicator for a company that’s going to be the next big thing. Or, it could be a leading indicator of lots of layoffs ahead. Managers can sometimes get over-eager about a certain initiative, hire a ton of people, realize their idea doesn’t actually work, and then fire the people they just brought on. At the same time, be sensitive to how self-aware the leaders of a company are. Self-aware managers can often be a leading indicator of a company that will treat its people well.”"
Level set,to go over a topic so that everyone in the group has the same understanding of what is going on.,"""Since not everyone was able to attend last week's meeting, let's begin by level setting."""
Lever... to pull,an action you can take to get a certain outcome.,"“When you’re up against a difficult coworker, going to someone’s manager to complain about can be a tempting lever to pull. It could work, but it could also backfire if the other person finds out and sees you as going behind their back.”"
Leverage,to use.,"""Leverage the people around you. Don't be afraid to ask questions."""
Light a fire under (someone),to pressure someone to do something.,"""Unless the CEO lights a fire under the team, I'm not sure it will go anywhere."""
Lipstick on a pig,to try and make something low quality look high quality.,"""Let's not put lipstick on a pig. This idea is terrible."""
Loop in,to include / involve someone (in a conversation).,"""Mind looping me in on the email thread? CC me."""
Low-hanging fruit,"something that's easy to do, yet makes an impact.","""Let's complete the low-hanging fruit tasks before tackling the tasks that will take several days."""
Marginal benefit,the extra gain or advantage you get from doing something.,“The marginal benefit of schedule sending your emails so that your message arrives when the other person is most likely to see it (and want to see it) is huge. It could mean the difference between the other person seeing your email and wanting to respond and not!”
Material,substantial enough that people will notice.,"""Changing this assumption is material to the company’s growth."""
Mission critical,the most important task that will make or break something.,"""We are in a hurry. Don't worry about anything that is not mission critical."""
Model,an Excel file with a bunch of assumptions and formulas used to calculate something.,"""Can you model out our costs over the coming year?"""
